id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
53,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"¿È´ÏºÏ 7 ¿¡¾î·Î 13, r7 350",1,,125,,,r7 350,32,onboard,2,1,13,6,6,6,-0.201086957,99,-14.33021807,43,ips,6,0.72826087,5.38,-1.682282609,8,0,8,ÄíÆÎ,0,0,0,,
59,https://www.coupang.com/vp/products/8721859355?itemId=25335208306&vendorItemId=92329958394,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 340 ips",1,,90,,,r5 340,16,onboard,2,1,14,3,5,4,-2.201086957,141,4.801546009,59,ips,4,-1.27173913,7.38,0.317717391,8,0,8,ÄíÆÎ,1,0,1,,
60,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 340 oled",1,,120,,,r5 340,16,onboard,2,1,14,8,8,8,1.798913043,141,4.801546009,59,oled,4,-1.27173913,6.38,-0.682282609,9.25,1.25,8,ÄíÆÎ,1,0,1,,
55,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, r7 350 oled",1,,143,,,r7 350,32,onboard,4,1,14,8,8,8,1.798913043,141,4.801546009,59,oled,6,0.72826087,6.38,-0.682282609,9.25,1.25,8,ÄíÆÎ,1,0,1,,
23,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v ips",1,,100,,,u5 226v,16,onboard,2,1,14,3,5,4,-2.201086957,139,3.314999257,59,ips,6,0.72826087,9.83,2.767717391,6,0,6,ÄíÆÎ,1,0,1,,
26,https://www.coupang.com/vp/products/8734831107,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v oled",1,,130,,,u5 226v,16,onboard,2,1,14,8,8,8,1.798913043,139,3.314999257,59,oled,6,0.72826087,8.14,1.077717391,7.25,1.25,6,ÄíÆÎ,1,0,1,,
12,https://www.coupang.com/vp/products/8941646336?itemId=26149113277&vendorItemId=93129106561,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 256v oled",1,,135,,,u7 256v,32,onboard,2,1,14,8,8,8,1.798913043,139,3.314999257,59,oled,7,1.72826087,8.14,1.077717391,7.25,1.25,6,ÄíÆÎ,1,0,1,,
2,https://www.coupang.com/vp/products/8771707549?itemId=25383774409&vendorItemId=92377682730,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 258v ips",1,,120,,,u7 258v,32,onboard,2,1,14,3,5,4,-2.201086957,139,3.314999257,59,ips,7,1.72826087,9.83,2.767717391,6,0,6,ÄíÆÎ,1,0,1,,
5,https://www.coupang.com/vp/products/8734831107,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 258v oled",1,,150,,,u7 258v,32,onboard,2,1,14,8,8,8,1.798913043,139,3.314999257,59,oled,7,1.72826087,8.14,1.077717391,7.25,1.25,6,ÄíÆÎ,1,0,1,,
27,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u5 226v",1,,165,,,u5 226v,16,onboard,4,1,14,8,8,8,1.798913043,135,0.341905753,64,oled,6,0.72826087,8.83,1.767717391,7.25,1.25,6,ÄíÆÎ,1,0,3,,
1,https://www.coupang.com/vp/products/8500861707?itemId=24607850297&vendorItemId=91619213519,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u9 288v",1,,190,,,u9 288v,32,onboard,4,1,14,8,8,8,1.798913043,135,0.341905753,64,oled,7,1.72826087,8.83,1.767717391,7.25,1.25,6,ÄíÆÎ,1,0,3,,
6,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u7 258v",1,,190,,,u7 258v,32,onboard,4,1,14,8,8,8,1.798913043,135,0.341905753,64,oled,7,1.72826087,8.83,1.767717391,7.25,1.25,6,ÄíÆÎ,1,0,3,,
71,https://www.coupang.com/vp/products/8678555728,hp,"ÇÁ·ÎºÏ 455 G10, r5 7530u",1,,48,,,r5 7530u,8,single,2,0,15.6,3,3,3,-3.201086957,177,7.332573314,51,ips,3,-2.27173913,5.23,-1.832282609,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
81,https://www.coupang.com/vp/products/9088545835,lenovo,"V15 G4 AMN, r3 7320u",1,,37,,,r3 7320u,16,onboard,1,0,15.6,3,3,3,-3.201086957,163,-1.157008756,47,ips,2,-3.27173913,4.18,-2.882282609,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
72,https://www.coupang.com/vp/products/9115855420,lenovo,"V15 G4 AMN, r5 7520u",1,,40,,,r5 7520u,16,onboard,1,0,15.6,3,3,3,-3.201086957,163,-1.157008756,47,ips,2,-3.27173913,4.18,-2.882282609,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
66,https://www.coupang.com/vp/products/8680039848?itemId=25197742104&vendorItemId=92194389018,lenovo,"¾ÅÅ©ºÏ 14arp G7 R5, r5 7535hs",1,,60,,,r5 7535hs,16,single,2,0,14,6,5,5.5,-0.701086957,138,2.571725881,60,ips,4,-1.27173913,6.32,-0.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
46,https://www.coupang.com/vp/products/8146665286?itemId=23167065497&vendorItemId=90199849499,lenovo,"¾ÅÅ©ºÏ 14arp G7 R7, r7 7735hs",1,,70,,,r7 7735hs,16,single,2,0,14,6,5,5.5,-0.701086957,138,2.571725881,60,ips,5,-0.27173913,6.32,-0.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
67,https://www.coupang.com/vp/products/8201783041,lenovo,"¾ÅÅ©ºÏ 16arp G7 R5, r5 7535hs",1,,65,,,r5 7535hs,16,single,2,1,16,6,5,5.5,-0.701086957,180,4.347826087,70,ips,4,-1.27173913,6.83,-0.232282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
47,https://www.coupang.com/vp/products/8201783016,lenovo,"¾ÅÅ©ºÏ 16arp G7 R7, r7 7735hs",1,,75,,,r7 7735hs,16,single,2,0,16,6,5,5.5,-0.701086957,180,4.347826087,70,ips,5,-0.27173913,6.83,-0.232282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
34,https://www.coupang.com/vp/products/8710227957,lenovo,"¾ÅÅ©ºÏ 16ial g8 u5 3K, u5 225h",1,,100,,,u5 225h,16,single,2,0,16,6,8,7,0.798913043,170,-1.449275362,71,ips,6,0.72826087,7.47,0.407717391,9.5,1.5,8,ÄíÆÎ,0,0,0,,
35,https://www.coupang.com/vp/products/8760943054,lenovo,"¾ÅÅ©ºÏ 16ial g8 u5 3K, u5 225h",1,,115,,,u5 225h,32,single,4,0,16,6,8,7,0.798913043,170,-1.449275362,71,ips,6,0.72826087,7.47,0.407717391,9.5,1.5,8,ÄíÆÎ,0,0,0,,
63,https://www.coupang.com/vp/products/8730924757,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 14ahp10 oled, r5 8640hs",1,,65,,,r5 8640hs,8,single,1,0,14,8,5,6.5,0.298913043,133,-1.144640999,60,oled,5,-0.27173913,6.49,-0.572282609,9.25,0.5,8.75,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
50,https://www.coupang.com/vp/products/8792314051?itemId=25592117166&vendorItemId=92582883311,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15ABR8, r7 5825u",1,,58,,,r7 5825u,16,onboard,2,0,15.6,3,3,3,-3.201086957,162,-1.763407476,47,ips,3,-2.27173913,4.82,-2.242282609,9.75,0.75,9,ÄíÆÎ,0,0,0,,
64,https://www.coupang.com/vp/products/8743086948,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15ahp10 oled, r5 8640hs",1,,75,,,r5 8640hs,8,single,1,0,15.1,8,8,8,1.798913043,151,-2.842656578,60,oled,5,-0.27173913,5.58,-1.482282609,10.75,2,8.75,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
69,https://www.coupang.com/vp/products/8789578488,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10 oled, r5 7533hs",1,,73,,,r5 7533hs,8,single,1,0,15.1,8,8,8,1.798913043,151,-2.842656578,60,oled,4,-1.27173913,5.22,-1.842282609,11.5,2,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
70,https://www.coupang.com/vp/products/8789578488,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10 oled, r5 7533hs",2,,68,,,r5 7533hs,8,single,1,1,15.1,8,8,8,1.798913043,151,-2.842656578,60,oled,4,-1.27173913,5.22,-1.842282609,11.5,2,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
68,https://www.coupang.com/vp/products/8700456792,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10, r5 7533hs",1,,55,,,r5 7533hs,8,single,1,0,15.3,3,5,4,-2.201086957,163,2.377931589,60,ips,4,-1.27173913,5.85,-1.212282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
87,https://www.coupang.com/vp/products/8956936394?itemId=26207071340&vendorItemId=93186207320,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15iru8, i3 1315u",1,,40,,,i3 1315u,8,onboard,2,0,15.6,3,3,3,-3.201086957,162,-1.763407476,45,ips,3,-2.27173913,4.39,-2.672282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
77,https://www.coupang.com/vp/products/8849748058,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14akp10, r5 340",1,,105,,,r5 340,24,dual,2,1,14,8,5,6.5,0.298913043,139,3.314999257,60,oled,4,-1.27173913,7.06,-0.002282609,8.5,0.5,8,ÄíÆÎ,0,0,0,,
74,https://www.coupang.com/vp/products/8660625625,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14akp10, r5 350",1,,118,,,r5 350,32,dual,2,1,14,8,5,6.5,0.298913043,139,3.314999257,60,oled,6,0.72826087,7.06,-0.002282609,8.5,0.5,8,ÄíÆÎ,0,0,0,,
33,https://www.coupang.com/vp/products/8898341424,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14iah10, u5 225h",1,,100,,,u5 225h,24,dual,2,0,14,8,5,6.5,0.298913043,139,3.314999257,60,oled,6,0.72826087,7.06,-0.002282609,8.5,0.5,8,ÄíÆÎ,0,0,0,,
43,https://www.coupang.com/vp/products/7972993772,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14IMH, u5 125h",1,,78,,,u5 125h,16,dual,2,0,14,6,5,5.5,-0.701086957,146,8.517912888,57,ips,6,0.72826087,6.51,-0.552282609,8.75,0,8.75,ÄíÆÎ,0,0,0,,
48,https://www.coupang.com/vp/products/8575125776,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 15arp10, r7 7735hs",1,,78,,,r7 7735hs,16,dual,2,0,15.3,6,5,5.5,-0.701086957,157,-1.39058123,70,ips,5,-0.27173913,6.83,-0.232282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
80,https://www.coupang.com/vp/products/8898526670,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16akp10, r5 340",1,,115,,,r5 340,24,dual,2,0,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,4,-1.27173913,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
58,https://www.coupang.com/vp/products/8670201542,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16akp10, r7 350",1,,128,,,r7 350,32,dual,2,1,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,6,0.72826087,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
41,https://www.coupang.com/vp/products/8883152949,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16iah10, u5 225h",1,,110,,,u5 225h,24,dual,2,0,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,6,0.72826087,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
17,https://www.coupang.com/vp/products/8883267474,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16iah10, u7 255h",1,,122,,,u7 255h,24,dual,2,0,16,9,8,8.5,2.298913043,169,-2.028985507,60,oled,7,1.72826087,6,-1.062282609,10,2,8,ÄíÆÎ,0,0,0,,
75,https://www.coupang.com/vp/products/8847714479,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 2in1 16akp10, r5 350",1,,125,,,r5 350,16,onboard,2,1,16,9,7,8,1.798913043,190,10.14492754,57,oled,6,0.72826087,5.7,-1.362282609,10,2,8,ÄíÆÎ,0,0,0,,
56,https://www.coupang.com/vp/products/8883315581,lenovo,"¿ä°¡ 7 2in1 14akp10, r7 350",1,,145,,,r7 350,32,onboard,2,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,6,0.72826087,7.57,0.507717391,9.25,1.25,8,ÄíÆÎ,1,0,0,,
20,https://www.coupang.com/vp/products/8673080963,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 228v",1,,165,,,u5 228v,32,onboard,2,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,6,0.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,1,0,0,,
19,https://www.coupang.com/vp/products/8673080963,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 258v",1,,175,,,u5 258v,32,onboard,2,1,14,8,8,8,1.798913043,138,2.571725881,70,oled,7,1.72826087,9.66,2.597717391,7.25,1.25,6,ÄíÆÎ,1,0,0,,
