id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
46,https://www.coupang.com/vp/products/8146665286?itemId=23167065497&vendorItemId=90199849499,lenovo,"¾ÅÅ©ºÏ 14arp G7 R7, r7 7735hs",1,,70,,,r7 7735hs,16,single,512,0,14,6,5,5.5,-0.701086957,138,2.571725881,60,ips,5,-0.27173913,6.32,-0.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
67,https://www.coupang.com/vp/products/8201783041?itemId=23513749012&vendorItemId=90540144557,lenovo,"¾ÅÅ©ºÏ 16arp G7 R5, r5 7535hs",1,,65,,,r5 7535hs,16,single,512,1,16,6,5,5.5,-0.701086957,180,4.347826087,70,ips,4,-1.27173913,6.83,-0.232282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
47,https://www.coupang.com/vp/products/8201783041?itemId=24949700717&vendorItemId=91955595467,lenovo,"¾ÅÅ©ºÏ 16arp G7 R7, r7 7735hs",1,,75,,,r7 7735hs,16,single,512,0,16,6,5,5.5,-0.701086957,180,4.347826087,70,ips,5,-0.27173913,6.83,-0.232282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
35,https://www.coupang.com/vp/products/8760943054?itemId=25474839711&vendorItemId=92467262961,lenovo,"¾ÅÅ©ºÏ 16ial g8 u5 3K, u5 225h",1,,115,,,u5 225h,16,single,1024,0,16,6,8,7,0.798913043,170,-1.449275362,71,ips,6,0.72826087,7.47,0.407717391,9.5,1.5,8,ÄíÆÎ,0,0,0,,
63,https://www.coupang.com/vp/products/8730924757?itemId=25369154828&vendorItemId=92363325594,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 14ahp10 oled, r5 8640hs",1,,65,,,r5 8640hs,8,single,256,0,14,8,5,6.5,0.298913043,133,-1.144640999,60,oled,5,-0.27173913,6.49,-0.572282609,9.25,0.5,8.75,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
64,https://www.coupang.com/vp/products/8743086948?itemId=25409162113&vendorItemId=92402597630,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15ahp10 oled, r5 8640hs",1,,75,,,r5 8640hs,8,single,256,0,15.1,8,8,8,1.798913043,151,-2.842656578,60,oled,5,-0.27173913,5.58,-1.482282609,10.75,2,8.75,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
70,https://www.coupang.com/vp/products/8789578488?itemId=25368988626&vendorItemId=92363162957,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10 oled, r5 7533hs",2,,68,,,r5 7533hs,8,single,256,1,15.1,8,8,8,1.798913043,151,-2.842656578,60,oled,4,-1.27173913,5.22,-1.842282609,11.5,2,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
68,https://www.coupang.com/vp/products/9251257445?itemId=27363809908&vendorItemId=94329842260,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15ahp10, r5 8640hs",1,,65,,,r5 8640hs,16,dual,256,0,15.3,3,5,4,-2.201086957,163,2.377931589,60,ips,5,-1.27173913,5.85,-1.212282609,10.25,0.75,8.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
87,https://www.coupang.com/vp/products/8956936394?itemId=26207071340&vendorItemId=93186207320,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15iru8, i3 1315u",1,,40,,,i3 1315u,8,onboard,512,0,15.6,3,3,3,-3.201086957,162,-1.763407476,45,ips,3,-2.27173913,4.39,-2.672282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
77,https://www.coupang.com/vp/products/8849748058,lenovo,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14akp10, r5 340",1,,105,,,r5 340,24,dual,512,1,14,8,5,6.5,0.298913043,139,3.314999257,60,oled,4,-1.27173913,7.06,-0.002282609,8.5,0.5,8,ÄíÆÎ,0,0,0,,
