id,link,brand,name,remark,variant,sold_out,on_crawl,is_active,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,screen_type,portability,display,cpu_style,weight,battery,Unnamed: 25,market,lasust_update,last_update,benefit_count
,https://www.coupang.com/vp/products/8760962623?itemid=25474920787&vendoritemid=92467342021,lenovo,"리전 프로 7 16IAX10, U9 275HX/5070 Ti",,,,1.0,1.0,370.0,379.9,2.7,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,16.0,,2.0,9.0,1.0,257.0,80.0,,쿠팡,,2026-04-12 07:41,0.0
,https://www.coupang.com/vp/products/8686463967?itemid=25217316659&vendoritemid=92213738237,lenovo,"리전 프로 7 16IAX10, U9 275HX/5080",,,,1.0,1.0,430.0,499.9,16.3,U9 275HX,5080,32.0,dual,1024.0,0.0,16.0,,2.0,9.0,1.0,257.0,80.0,,쿠팡,,2026-04-12 07:49,4.0
,https://www.coupang.com/vp/products/9007205840?itemid=27375892821&vendoritemid=94341787823,lg,"그램프로 16, U5 225H/5050",,,,1.0,1.0,270.0,272.62,1.0,U5 225H,5050,,,,,16.0,,13.0,6.0,0.0,136.0,90.0,,쿠팡,,2026-04-12 07:54,0.0
,https://www.coupang.com/vp/products/9254540096?itemid=27375892823&vendoritemid=94341787824,lg,"그램프로 17, U5 225H/5050",화이트,1.0,,1.0,1.0,280.0,278.075,-0.7,U5 225H,5050,,,,,,,13.0,6.0,0.0,148.0,90.0,,쿠팡,,2026-04-12 08:00,0.0
,https://www.coupang.com/vp/products/9395836180?itemid=27904531391&vendoritemid=94863309099,lg,"그램프로 17, U5 225H/5050",블랙,2.0,,1.0,1.0,280.0,365.0,30.4,U5 225H,5050,,,,,,,13.0,6.0,0.0,148.0,90.0,,쿠팡,,2026-04-12 08:05,0.0
,https://www.coupang.com/vp/products/8711669095?itemid=26764774488&vendoritemid=93735603813,msi,"레이더 A18, R9 9955HX/5080",,,,1.0,1.0,450.0,409.3,-9.0,R9 9955HX,5080,16.0,dual,1024.0,0.0,18.0,,1.0,8.0,1.0,360.0,99.0,,쿠팡,,2026-04-12 08:09,0.0
,https://www.coupang.com/vp/products/8771764425?itemid=25515886631&vendoritemid=92507808343,msi,"벡터 16, U7 275HX/5070 Ti",,,,1.0,1.0,260.0,269.9,3.8,U7 275HX,5070 Ti,16.0,dual,1024.0,0.0,16.0,,1.0,8.0,1.0,270.0,90.0,,쿠팡,,2026-04-12 08:15,4.0
,https://www.coupang.com/vp/products/8715362832?itemid=25312533063&vendoritemid=92307623157,msi,"벡터 16, U7 275HX/5080",,,,1.0,1.0,330.0,329.9,-0.0,U7 275HX,5080,16.0,dual,1024.0,0.0,16.0,,1.0,8.0,1.0,270.0,90.0,,쿠팡,,2026-04-12 08:22,4.0
,https://www.coupang.com/vp/products/8825969244?itemid=25789822919&vendoritemid=92777600085,msi,"소드 GF76 17.3, i7 14650HX/5060",,,,1.0,1.0,165.0,193.901,17.5,i7 14650HX,5060,16.0,dual,512.0,0.0,14.0,,1.0,8.0,1.0,270.0,75.0,,쿠팡,,2026-04-12 08:31,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,쿠팡,,,
