id,link,brand,name,remark,variant,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,portability,display,cpu_style,weight,battery,Unnamed: 23,market,last_update,benefit_count
,https://www.coupang.com/vp/products/8935925393?itemId=25890522454&vendorItemId=92876444744,Lenovo,"리전 7 16IAX10, U9 275HX/5070",,,,0,,339.9,,U9 275HX,5070,32.0,dual,1024.0,0.0,16.0,7.0,9.0,1.0,,,,쿠팡,2026-04-01 05:06,0.0
,https://www.coupang.com/vp/products/8836980191?itemId=25752060438&vendorItemId=92740350838,Lenovo,"리전 프로 5 16IAX10, U9 275HX/5070",,,,0,,279.9,,U9 275HX,5070,32.0,dual,1024.0,0.0,16.0,3.0,8.0,1.0,243.0,80.0,,쿠팡,2026-04-01 05:12,4.0
,https://www.coupang.com/vp/products/8873266044?itemId=25890522816&vendorItemId=92876445013,Lenovo,"리전 프로 5 16IAX10, U9 275HX/5070 Ti",,,,0,,334.9,,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,16.0,3.0,9.0,1.0,243.0,80.0,,쿠팡,2026-04-01 05:18,4.0
,https://www.coupang.com/vp/products/8686463967?itemId=25217316659&vendorItemId=92213738237,Lenovo,"리전 프로 7 16IAX10, U9 275HX/5080",,,,0,,449.9,,U9 275HX,5080,32.0,dual,1024.0,0.0,16.0,2.0,9.0,1.0,257.0,80.0,,쿠팡,2026-04-01 05:24,4.0
,https://www.coupang.com/vp/products/8760962623?itemId=25474920787&vendorItemId=92467342021,Lenovo,"리전 프로 7 16IAX10, U9 275HX/5070 Ti",,,,0,,369.9,,U9 275HX,5070 Ti,32.0,dual,1024.0,0.0,16.0,2.0,9.0,1.0,257.0,80.0,,쿠팡,2026-04-01 05:30,0.0
,https://www.coupang.com/vp/products/9007205840?itemId=27375892821&vendorItemId=94341787823,LG,"그램프로 16, U5 225H/5050",,,,0,,284.6,,U5 225H,5050,,,,,16.0,13.0,6.0,0.0,136.0,90.0,,쿠팡,2026-04-01 05:36,0.0
,https://www.coupang.com/vp/products/9254540096?itemId=27375892823&vendorItemId=94341787824,lg,"그램프로 17, U5 225H/5050",화이트,1.0,,0,,279.0,,U5 225H,5050,,,,,,13.0,6.0,0.0,148.0,90.0,,쿠팡,2026-04-01 05:41,0.0
,https://www.coupang.com/vp/products/9395836180?itemId=27904531391&vendorItemId=94863309099,lg,"그램프로 17, U5 225H/5050",블랙,2.0,,0,,256.5,,U5 225H,5050,,,,,,13.0,6.0,0.0,148.0,90.0,,쿠팡,2026-04-01 05:47,0.0
,https://www.coupang.com/vp/products/9395836180?itemId=27904531391&vendorItemId=94863309099,gigabyte,"에어로 X16, R7 350/5060",16GB 램,1.0,,0,,256.5,,R7 350,5060,,,,,,8.0,6.0,0.0,190.0,76.0,,쿠팡,2026-04-01 05:53,0.0
,https://www.coupang.com/vp/products/8938802218?itemId=26137504736&vendorItemId=93117664782,,"에어로 X16, R7 350/5060",32GB 램,2.0,,0,,229.9,,R7 350,,,,,,,8.0,6.0,0.0,190.0,76.0,,쿠팡,2026-04-01 05:59,0.0
