id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
9,https://www.coupang.com/vp/products/8544270516,as,"젠북 s16, u7 258v",1,,1900000,2514066,32.3,u7 258v,32,onaboard,4,1,16,8,8,150,78,oled,7,9.75,8,2,6,쿠팡,0,0,0,,2026-03-07 10:07
40,https://www.coupang.com/vp/products/8906849724,ac,"스위프트 고 14, u5 225h",1,,1050000,1394792,32.8,u5 225h,16,onboard,2,1,14,8,8,130,63,oled,6,6.81,9.25,1.25,8,쿠팡,0,0,0,,2026-03-07 8:43
51,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"옴니북 3 15.6, r7 350",1,,750000,998100,33.1,r7 350,16,dual,1,1,15.6,3,3,170,41,ips,6,4.69,8.75,0.75,8,쿠팡,0,0,0,,2026-03-07 10:39
83,https://www.coupang.com/vp/products/8708067859,ac,"아스파이어 라이트 16, i5 1335u",1,,520000,697550,34.1,i5 1335u,8,single,2,0,16,3,5,170,58,ips,3,5.66,10.25,0.75,9.5,쿠팡,0,0,0,램 장착 권장,2026-03-07 9:09
27,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"옴니북 울트라 플립 14, u5 226v",1,,1650000,2222270,34.7,u5 226v,16,onboard,4,1,14,8,8,135,64,oled,6,8.83,7.25,1.25,6,쿠팡,1,0,3,,2026-03-07 11:40
81,https://www.coupang.com/vp/products/9088545835,le,"V15 G4 AMN, r3 7320u",1,,370000,499000,34.9,r3 7320u,16,onboard,1,0,15.6,3,3,163,47,ips,2,4.18,11.25,0.75,10.5,쿠팡,0,0,0,,2026-03-07 11:54
53,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"옴니북 7 에어로 13, r7 350",1,,1250000,1698000,35.8,r7 350,32,onboard,2,1,13,6,6,99,43,ips,6,5.38,8,0,8,쿠팡,0,0,0,,2026-03-07 11:06
60,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"옴니북 x 플립 14, r7 340 oled",1,,1200000,1659000,38.3,r5 340,16,onboard,2,1,14,8,8,141,59,oled,4,6.38,9.25,1.25,8,쿠팡,1,0,1,,2026-03-07 11:14
80,https://www.coupang.com/vp/products/8898526670,le,"아이디어패드 슬림5 16akp10, r5 340",1,,1150000,1618120,40.7,r5 340,24,dual,2,0,16,9,8,169,60,oled,4,6,10,2,8,쿠팡,0,0,0,,2026-03-07 13:10
2,https://www.coupang.com/vp/products/8771707549?itemId=25383774409&vendorItemId=92377682730,hp,"옴니북 x 플립 14, u7 258v ips",1,,1200000,1699000,41.6,u7 258v,32,onboard,2,1,14,3,5,139,59,ips,7,9.83,6,0,6,쿠팡,1,0,1,,2026-03-07 11:32
88,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"옴니북 3 14, i3 1315u",1,,400000,570504,42.6,i3 1315u,8,dual,1,1,14,3,3,140,41,ips,3,4.32,9.5,0,9.5,쿠팡,0,0,0,,2026-03-07 10:29
57,https://www.coupang.com/vp/products/8673103310,le,"요가 슬림7 14akp10, r7 350",1,,1400000,1999800,42.8,r7 350,32,onboard,4,1,14,8,8,119,70,oled,6,7.57,9.25,1.25,8,쿠팡,0,0,0,,2026-03-07 13:41
45,https://www.coupang.com/vp/products/8847458161?itemId=25789395889&vendorItemId=92777182376,hp,"옴니북 5 16, r7 8840u",1,,690000,1004000,45.5,r7 8840u,16,onboard,2,1,16,3,5,179,59,ips,7,6.56,9,0.75,8.25,쿠팡,0,0,0,,2026-03-07 10:47
56,https://www.coupang.com/vp/products/8883315581,le,"요가 7 2in1 14akp10, r7 350",1,,1450000,2117800,46.1,r7 350,32,onboard,2,1,14,8,8,138,70,oled,6,7.57,9.25,1.25,8,쿠팡,1,0,0,,2026-03-07 13:29
51,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"옴니북 3 15.6, r7 340",1,,680000,998100,46.8,r7 340,16,dual,1,1,15.6,3,3,170,41,ips,4,4.69,8.75,0.75,8,쿠팡,0,0,0,,2026-03-07 10:36
41,https://www.coupang.com/vp/products/8883152949,le,"아이디어패드 슬림5 16iah10, u5 225h",1,,1100000,1633300,48.5,u5 225h,24,dual,2,0,16,9,8,169,60,oled,6,6,10,2,8,쿠팡,0,0,0,,2026-03-07 13:18
62,https://www.coupang.com/vp/products/9126828332,hp,"옴니북 7 에어로 13, r5 8640u",1,,870000,1342700,54.3,r5 8640u,16,onboard,1,0,13.3,6,5,99,43,ips,5,5.21,8.25,0,8.25,쿠팡,0,0,0,,2026-03-07 11:02
33,https://www.coupang.com/vp/products/8898341424,le,"아이디어패드 슬림5 14iah10, u5 225h",1,,1000000,1558560,55.9,u5 225h,24,dual,2,0,14,8,5,139,60,oled,6,7.06,8.5,0.5,8,쿠팡,0,0,0,,2026-03-07 12:59
44,https://www.coupang.com/vp/products/8399146047,as,"비보북s 14, r9 hx370",1,,1250000,1950400,56,r9 hx370,24,onabord,2,0,14,8,5,130,75,oled,7,8.82,8.5,0.5,8,쿠팡,0,0,0,,2026-03-07 9:43
76,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,hp,"옴니북 5 nagi 16, r5 340",1,,730000,1139050,56,r5 340,16,onboard,2,1,16,3,5,179,43,ips,4,4.91,8.75,0.75,8,쿠팡,0,0,0,,2026-03-07 10:54
84,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"노트북 14, i5 1334u",1,,400000,629000,57.2,i5 1334u,8,single,1,0,14,3,3,140,41,ips,3,4.32,9.5,0,9.5,쿠팡,0,0,0,램 장착 권장,2026-03-07 10:18
74,https://www.coupang.com/vp/products/8660625625,le,"아이디어패드 슬림5 14akp10, r5 350",1,,1180000,1861500,57.8,r5 350,32,dual,2,1,14,8,5,139,60,oled,6,7.06,8.5,0.5,8,쿠팡,0,0,0,,2026-03-07 12:55
71,https://www.coupang.com/vp/products/8678555728,hp ,"프로북 455 G10, r5 7530u",1,,480000,759000,58.1,r5 7530u,8,single,2,0,15.6,3,3,177,51,ips,3,5.23,9.75,0.75,9,쿠팡,0,0,0,램 장착 권장,2026-03-07 11:51
23,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"옴니북 x 플립 14, u5 226v ips",1,,1000000,1590000,59,u5 226v,16,onboard,2,1,14,3,5,139,59,ips,6,9.83,6,0,6,쿠팡,1,0,1,,2026-03-07 11:21
54,https://www.coupang.com/vp/products/8869191358,ac,"스위프트 고 16, r7 350",1,,1320000,2159800,63.6,r7 350,32,onboard,4,1,16,8,8,150,75,oled,6,7.5,10,2,8,쿠팡,0,0,0,,2026-03-07 8:51
42,https://www.coupang.com/vp/products/8987732920,ac,"아스파이어 고 14, u5 125h",1,,700000,1149800,64.3,u5 125h,16,onboard,2,1,14,6,5,147,54,ips,6,6.17,8.75,0,8.75,쿠팡,0,0,0,,2026-03-07 8:59
58,https://www.coupang.com/vp/products/8670201542,le,"아이디어패드 슬림5 16akp10, r7 350",1,,1280000,2106200,64.5,r7 350,32,dual,2,1,16,9,8,169,60,oled,6,6,10,2,8,쿠팡,0,0,0,,2026-03-07 13:14
43,https://www.coupang.com/vp/products/7972993772,le,"아이디어패드 슬림5 14IMH, u5 125h",1,,780000,1299000,66.5,u5 125h,16,dual,2,0,14,6,5,146,57,ips,6,6.51,8.75,0,8.75,쿠팡,0,0,0,,2026-03-07 13:03
72,https://www.coupang.com/vp/products/9115855420,le,"V15 G4 AMN, r5 7520u",1,,400000,666670,66.7,r5 7520u,16,onboard,1,0,15.6,3,3,163,47,ips,2,4.18,11.25,0.75,10.5,쿠팡,0,0,0,,2026-03-07 11:58
28,https://www.coupang.com/vp/products/8641568032,as,"젠북 s14, u5 226v",1,,1500000,2621490,74.8,u5 226v,16,onaboard,2,1,14,8,8,120,72,oled,6,9.93,7.25,1.25,6,쿠팡,0,0,0,,2026-03-07 9:55
78,https://www.coupang.com/vp/products/8734683667,hp,"옴니북 7 에어로 13, r5 340",1,,1000000,1799800,80,r5 340,16,onboard,2,1,13.3,6,7,99,43,ips,4,4.91,8.75,0.75,8,쿠팡,0,0,0,,2026-03-07 10:58
47,https://www.coupang.com/vp/products/8201783016,le,"씽크북 16arp G7 R7, r7 7735hs",1,,750000,1399800,86.6,r7 7735hs,16,single,2,0,16,6,5,180,70,ips,5,6.83,10.25,0.75,9.5,쿠팡,0,0,0,,2026-03-07 12:13
48,https://www.coupang.com/vp/products/8575125776,le,"아이디어패드 슬림5 15arp10, r7 7735hs",1,,780000,1525800,95.6,r7 7735hs,16,dual,2,0,15.3,6,5,157,70,ips,5,6.83,10.25,0.75,9.5,쿠팡,0,0,0,,2026-03-07 13:06
