id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update,sold_out
20.0,https://www.coupang.com/vp/products/8673080963,le,"요가 7 2in1 14ill10, u5 228v",1,1650000,1663000.0,u5 228v,32,onboard,2,1,14.0,8,8,138,70,oled,6,9.66,7.25,1.25,6.0,쿠팡,1,0,0.0,,2026-02-26 12:41,
19.0,https://www.coupang.com/vp/products/8673080963,le,"요가 7 2in1 14ill10, u5 258v",1,1750000,1663000.0,u5 258v,32,onboard,2,1,14.0,8,8,138,70,oled,7,9.66,7.25,1.25,6.0,쿠팡,1,0,0.0,,2026-02-26 12:50,
57.0,https://www.coupang.com/vp/products/8673103310,le,"요가 슬림7 14akp10, r7 350",1,1400000,1999800.0,r7 350,32,onboard,4,1,14.0,8,8,119,70,oled,6,7.57,9.25,1.25,8.0,쿠팡,0,0,0.0,,2026-02-26 13:00,
21.0,https://www.coupang.com/vp/products/8670590507,le,"요가 슬림7 14ill10, u5 228v",1,1550000,1679000.0,u5 228v,32,onboard,2,1,14.0,8,8,119,70,oled,6,9.66,7.25,1.25,6.0,쿠팡,0,0,0.0,,2026-02-26 13:09,
7.0,https://www.coupang.com/vp/products/8670590493,le,"요가 슬림7 14ill10, u7 258v",1,1650000,1873000.0,u7 258v,32,onboard,2,1,14.0,8,8,119,70,oled,7,9.66,7.25,1.25,6.0,쿠팡,0,0,0.0,,2026-02-26 13:17,
3.0,https://www.coupang.com/vp/products/8408971036,le,"요가 슬림7 15ill9, u7 258v",1,1750000,2052000.0,u7 258v,32,onboard,2,1,15.3,7,8,153,70,ips,7,9.33,7.5,1.5,6.0,쿠팡,0,0,0.0,,2026-02-26 13:26,
18.0,https://www.coupang.com/vp/products/7955896989?itemId=21980916755&vendorItemId=89028561695,le,"요가북  9i 13imu9, u7 155u",1,2500000,2399000.0,u7 155u,32,onboard,4,1,13.3,8,8,134,80,oled,4,8.42,9.5,1.25,8.25,쿠팡,1,0,3.0,,2026-02-26 13:35,
31.0,https://www.coupang.com/vp/products/8518435229?itemId=24662380297&vendorItemId=91672792964,lg,"그램 14, u5 225h",1,1300000,,u5 225h,16,onboard,1,1,14.0,6,5,112,72,ips,6,9.0,8.0,0.0,8.0,쿠팡,0,0,1.0,,a,1
36.0,https://www.coupang.com/vp/products/8518435273?itemId=24662380570&vendorItemId=91672793061,lg,"그램프로 16, u5 225h",1,1650000,,u5 225h,16,onboard,1,1,16.0,7,8,120,77,ips,6,8.11,9.5,1.5,8.0,쿠팡,0,0,2.0,블랙,a,1
37.0,https://www.coupang.com/vp/products/8518435238?itemId=24662380338&vendorItemId=91672792997,lg,"그램프로 16, u5 225h",2,1650000,1892800.0,u5 225h,16,onboard,1,1,16.0,7,8,120,77,ips,6,8.11,9.5,1.5,8.0,쿠팡,0,0,2.0,화이트,2026-02-26 13:44,
24.0,https://www.coupang.com/vp/products/8665643751?itemId=25151207734&vendorItemId=92149671495,lg,"그램프로 16, u5 226v",1,1700000,,u5 226v,16,onboard,1,1,16.0,7,8,120,77,ips,6,10.27,7.5,1.5,6.0,쿠팡,0,0,2.0,256GB,a,1
25.0,https://www.coupang.com/vp/products/8798723192?itemId=25617728073&vendorItemId=92608107963,lg,"그램프로 16, u5 226v",2,1700000,,u5 226v,16,onboard,2,1,16.0,7,8,120,77,ips,6,10.27,7.5,1.5,6.0,쿠팡,0,0,2.0,512GB,a,1
38.0,https://www.coupang.com/vp/products/8518435232?itemId=24662380325&vendorItemId=91672792975,lg,"그램프로 17, u5 225h",1,1750000,2052860.0,u5 225h,16,onboard,1,1,17.0,7,8,139,77,ips,6,8.11,9.5,1.5,8.0,쿠팡,0,0,2.0,,2026-02-26 13:53,
39.0,https://www.coupang.com/vp/products/8518435234?itemId=24662380327&vendorItemId=91672792982,lg,"그램프로 360 16, u5 225h",1,1650000,2110000.0,u5 225h,16,onboard,1,1,16.0,7,8,140,77,ips,6,8.11,9.5,1.5,8.0,쿠팡,1,0,2.0,,2026-02-26 14:02,
