id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
2,https://www.coupang.com/vp/products/8771707549?itemId=25383774409&vendorItemId=92377682730,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 258v ips",1,1200000,,u7 258v,32,onboard,2,1,14,3,5,139,59,ips,7,9.83,6,0,6,ÄíÆÎ,1,0,1,,
5,https://www.coupang.com/vp/products/8734831107,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 258v oled",1,1500000,,u7 258v,32,onboard,2,1,14,8,8,139,59,oled,7,8.14,7.25,1.25,6,ÄíÆÎ,1,0,1,,
27,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u5 226v",1,1650000,,u5 226v,16,onboard,4,1,14,8,8,135,64,oled,6,8.83,7.25,1.25,6,ÄíÆÎ,1,0,3,,
1,https://www.coupang.com/vp/products/8500861707?itemId=24607850297&vendorItemId=91619213519,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u9 288v",1,1900000,,u9 288v,32,onboard,4,1,14,8,8,135,64,oled,7,8.83,7.25,1.25,6,ÄíÆÎ,1,0,3,,
6,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u7 258v",1,1900000,,u7 258v,32,onboard,4,1,14,8,8,135,64,oled,7,8.83,7.25,1.25,6,ÄíÆÎ,1,0,3,,
71,https://www.coupang.com/vp/products/8678555728,hp ,"ÇÁ·ÎºÏ 455 G10, r5 7530u",1,480000,,r5 7530u,8,single,2,0,15.6,3,3,177,51,ips,3,5.23,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
81,https://www.coupang.com/vp/products/9088545835,le,"V15 G4 AMN, r3 7320u",1,370000,,r3 7320u,16,onboard,1,0,15.6,3,3,163,47,ips,2,4.18,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
72,https://www.coupang.com/vp/products/9115855420,le,"V15 G4 AMN, r5 7520u",1,400000,,r5 7520u,16,onboard,1,0,15.6,3,3,163,47,ips,2,4.18,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
66,https://www.coupang.com/vp/products/8680039848?itemId=25197742104&vendorItemId=92194389018,le,"¾ÅÅ©ºÏ 14arp G7 R5, r5 7535hs",1,600000,,r5 7535hs,16,single,2,0,14,6,5,138,60,ips,4,6.32,9.5,0,9.5,ÄíÆÎ,0,0,0,,
46,https://www.coupang.com/vp/products/8146665286?itemId=23167065497&vendorItemId=90199849499,le,"¾ÅÅ©ºÏ 14arp G7 R7, r7 7735hs",1,700000,,r7 7735hs,16,single,2,0,14,6,5,138,60,ips,5,6.32,9.5,0,9.5,ÄíÆÎ,0,0,0,,
67,https://www.coupang.com/vp/products/8201783041,le,"¾ÅÅ©ºÏ 16arp G7 R5, r5 7535hs",1,650000,,r5 7535hs,16,single,2,1,16,6,5,180,70,ips,4,6.83,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
47,https://www.coupang.com/vp/products/8201783016,le,"¾ÅÅ©ºÏ 16arp G7 R7, r7 7735hs",1,750000,,r7 7735hs,16,single,2,0,16,6,5,180,70,ips,5,6.83,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
34,https://www.coupang.com/vp/products/8710227957,le,"¾ÅÅ©ºÏ 16ial g8 u5 3K, u5 225h",1,1000000,,u5 225h,16,single,2,0,16,6,8,170,71,ips,6,7.47,9.5,1.5,8,ÄíÆÎ,0,0,0,,
35,https://www.coupang.com/vp/products/8760943054,le,"¾ÅÅ©ºÏ 16ial g8 u5 3K, u5 225h",1,1150000,,u5 225h,32,single,4,0,16,6,8,170,71,ips,6,7.47,9.5,1.5,8,ÄíÆÎ,0,0,0,,
63,https://www.coupang.com/vp/products/8730924757,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 14ahp10 oled, r5 8640hs",1,650000,,r5 8640hs,8,single,1,0,14,8,5,133,60,oled,5,6.49,9.25,0.5,8.75,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
50,https://www.coupang.com/vp/products/8792314051?itemId=25592117166&vendorItemId=92582883311,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15ABR8, r7 5825u",1,580000,,r7 5825u,16,onboard,2,0,15.6,3,3,162,47,ips,3,4.82,9.75,0.75,9,ÄíÆÎ,0,0,0,,
64,https://www.coupang.com/vp/products/8743086948,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15ahp10 oled, r5 8640hs",1,750000,,r5 8640hs,8,single,1,0,15.1,8,8,151,60,oled,5,5.58,10.75,2,8.75,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
69,https://www.coupang.com/vp/products/8789578488,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10 oled, r5 7533hs",1,730000,,r5 7533hs,8,single,1,0,15.1,8,8,151,60,oled,4,5.22,11.5,2,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
70,https://www.coupang.com/vp/products/8789578488,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10 oled, r5 7533hs",2,680000,,r5 7533hs,8,single,1,1,15.1,8,8,151,60,oled,4,5.22,11.5,2,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
68,https://www.coupang.com/vp/products/8700456792,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15arp10, r5 7533hs",1,550000,,r5 7533hs,8,single,1,0,15.3,3,5,163,60,ips,4,5.85,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
87,https://www.coupang.com/vp/products/8956936394?itemId=26207071340&vendorItemId=93186207320,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²3 15iru8, i3 1315u",1,400000,,i3 1315u,8,onboard,2,0,15.6,3,3,162,45,ips,3,4.39,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
77,https://www.coupang.com/vp/products/8849748058,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14akp10, r5 340",1,1050000,,r5 340,24,dual,2,1,14,8,5,139,60,oled,4,7.06,8.5,0.5,8,ÄíÆÎ,0,0,0,,
74,https://www.coupang.com/vp/products/8660625625,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14akp10, r5 350",1,1180000,,r5 350,32,dual,2,1,14,8,5,139,60,oled,6,7.06,8.5,0.5,8,ÄíÆÎ,0,0,0,,
33,https://www.coupang.com/vp/products/8898341424,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14iah10, u5 225h",1,1000000,,u5 225h,24,dual,2,0,14,8,5,139,60,oled,6,7.06,8.5,0.5,8,ÄíÆÎ,0,0,0,,
43,https://www.coupang.com/vp/products/7972993772,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 14IMH, u5 125h",1,780000,,u5 125h,16,dual,2,0,14,6,5,146,57,ips,6,6.51,8.75,0,8.75,ÄíÆÎ,0,0,0,,
48,https://www.coupang.com/vp/products/8575125776,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 15arp10, r7 7735hs",1,780000,,r7 7735hs,16,dual,2,0,15.3,6,5,157,70,ips,5,6.83,10.25,0.75,9.5,ÄíÆÎ,0,0,0,,
80,https://www.coupang.com/vp/products/8898526670,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16akp10, r5 340",1,1150000,,r5 340,24,dual,2,0,16,9,8,169,60,oled,4,6,10,2,8,ÄíÆÎ,0,0,0,,
58,https://www.coupang.com/vp/products/8670201542,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16akp10, r7 350",1,1280000,,r7 350,32,dual,2,1,16,9,8,169,60,oled,6,6,10,2,8,ÄíÆÎ,0,0,0,,
41,https://www.coupang.com/vp/products/8883152949,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16iah10, u5 225h",1,1100000,,u5 225h,24,dual,2,0,16,9,8,169,60,oled,6,6,10,2,8,ÄíÆÎ,0,0,0,,
17,https://www.coupang.com/vp/products/8883267474,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 16iah10, u7 255h",1,1220000,,u7 255h,24,dual,2,0,16,9,8,169,60,oled,7,6,10,2,8,ÄíÆÎ,0,0,0,,
75,https://www.coupang.com/vp/products/8847714479,le,"¾ÆÀÌµð¾îÆÐµå ½½¸²5 2in1 16akp10, r5 350",1,1250000,,r5 350,16,onboard,2,1,16,9,7,190,57,oled,6,5.7,10,2,8,ÄíÆÎ,0,0,0,,
